student_id,exam_type,grade,sub_segment,vle_total_clicks,avg_focus_duration_mins,phone_distraction_10min_count,parent_report_open_rate,assessment_avg_score,late_submission_ratio,anxiety_survey_score,night_study_ratio,churn_90d
STU_10000,LGS,8,Başlayamayan,87,10.8,1,0.36,54.9,0.73,8.3,0.58,0
STU_10001,YKS_TYT_AYT,11,Başlayamayan,190,6.3,3,0.44,43.9,0.66,7.6,0.33,1
STU_10002,YKS_TYT_AYT,12,Telefonla Dağılan,480,24.1,8,0.44,69.8,0.63,6.5,0.41,0
STU_10003,YKS_TYT_AYT,11,Başlayamayan,93,13.4,2,0.22,44.4,0.73,5.5,0.18,1
STU_10004,LGS,8,Başlayamayan,121,16.8,0,0.1,49.7,0.43,4.5,0.35,1
STU_10005,LGS,8,Kaygıyla Erteleyen,171,34.7,2,0.91,81.7,0.72,10.0,0.18,0
STU_10006,LGS,8,Kaygıyla Erteleyen,368,26.1,1,0.63,77.1,0.93,8.5,0.4,1
STU_10007,YKS_TYT_AYT,11,Geceye Kayan,460,28.2,4,0.68,60.6,0.51,9.3,0.93,0
STU_10008,YKS_TYT_AYT,12,Kaygıyla Erteleyen,305,23.2,3,0.82,51.3,0.72,10.0,0.54,0
STU_10009,YKS_TYT_AYT,Mezun,Telefonla Dağılan,476,27.5,4,0.63,65.4,0.49,4.5,0.48,1
STU_10010,LGS,8,Başlayamayan,95,13.9,1,0.24,54.3,0.46,4.3,0.09,0
STU_10011,YKS_TYT_AYT,12,Kaygıyla Erteleyen,295,37.5,3,0.77,60.3,0.57,9.6,0.28,1
STU_10012,YKS_TYT_AYT,12,Kaygıyla Erteleyen,295,18.3,1,0.75,58.0,0.55,8.4,0.77,1
STU_10013,LGS,8,Kaygıyla Erteleyen,311,30.2,1,0.45,55.2,0.74,8.0,0.43,0
STU_10014,LGS,8,Telefonla Dağılan,628,23.9,2,0.74,61.6,0.2,2.7,0.32,0
STU_10015,LGS,8,Yarıda Bırakan,207,13.3,1,0.57,36.9,0.21,1.6,0.08,0
STU_10016,LGS,8,Kaygıyla Erteleyen,498,20.3,2,0.83,72.8,0.53,9.6,0.57,1
STU_10017,YKS_TYT_AYT,12,Telefonla Dağılan,432,21.1,8,0.44,62.4,0.45,5.2,0.15,0
STU_10018,YKS_TYT_AYT,12,Geceye Kayan,805,38.4,3,0.71,61.5,0.37,5.3,0.46,0
STU_10019,LGS,8,Başlayamayan,177,16.9,1,0.4,47.5,0.85,8.1,0.19,1
STU_10020,YKS_TYT_AYT,12,Yarıda Bırakan,240,15.9,5,0.42,57.8,0.55,5.9,0.34,1
STU_10021,LGS,8,Başlayamayan,115,11.8,3,0.06,41.5,0.72,4.8,0.36,0
STU_10022,LGS,8,Kaygıyla Erteleyen,383,23.3,2,0.87,64.5,0.56,9.6,0.26,1
STU_10023,LGS,8,Başlayamayan,118,14.7,1,0.44,44.9,0.6,9.8,0.51,1
STU_10024,YKS_TYT_AYT,Mezun,Başlayamayan,138,14.4,1,0.1,56.9,0.65,6.2,0.07,1
STU_10025,YKS_TYT_AYT,Mezun,Geceye Kayan,477,31.5,4,0.67,78.1,0.1,3.2,0.78,0
STU_10026,LGS,8,Başlayamayan,107,7.6,2,0.04,52.7,0.42,3.2,0.19,1
STU_10027,YKS_TYT_AYT,12,Kaygıyla Erteleyen,379,24.3,1,0.92,78.3,0.52,9.6,0.25,0
STU_10028,YKS_TYT_AYT,12,Yarıda Bırakan,240,29.1,5,0.32,56.3,0.51,4.7,0.17,0
STU_10029,LGS,8,Kaygıyla Erteleyen,317,33.9,1,0.97,54.4,0.8,8.6,0.39,0
